"country_id","category","value"
"CHE","153d",0
"CHE","153e",0
"CHE","153f",0
"CHE","153g",0
"CHE","158a",0
"CHE","158b",0
"CHE","158c",0
"CHE","158d",0
"CHE","158f",0
"CHE","158g",0
"CHE","158h",0
"CHE","159a",0
"CHE","159b",0
"CHE","159c",0
"CHE","159e",0
"CHE","159f",0
"CHE","159g",0
"CHE","159h",0
"CHE","159i",0
"CHE","159j",0
"CHE","159k",0
"CHE","159l",0
"CHE","160b",0
"CHE","160c",0
"CHE","160d",0
"CHE","160e",0
"CHE","79x",0
"CHE","80x",0
"CHE","82x",0
"CHL","153a",1
"CHL","153b",1
"CHL","153c",1
"CHL","153d",1
"CHL","153e",1
"CHL","153f",1
"CHL","153g",1
"CHL","158a",1
"CHL","158b",1
"CHL","158c",1
"CHL","158d",1
"CHL","158f",1
"CHL","158g",1
"CHL","158h",1
"CHL","159a",1
"CHL","159b",1
"CHL","159c",1
"CHL","159e",1
"CHL","159f",1
"CHL","159g",1
"CHL","159h",1
"CHL","159i",1
"CHL","159j",1
"CHL","159k",1
"CHL","159l",0
"CHL","160b",1
"CHL","160c",1
"CHL","160d",1
"CHL","160e",1
"CHL","79x",0.666666666667
"CHL","80x",1
"CHL","82x",0.666666666667
"CHN","153a",1
"CHN","153b",1
"CHN","153c",1
"CHN","153d",1
"CHN","153e",1
"CHN","153f",1
"CHN","153g",1
"CHN","158a",1
"CHN","158b",1
"CHN","158c",1
"CHN","158d",1
"CHN","158f",1
"CHN","158g",1
"CHN","158h",0
"CHN","159a",1
"CHN","159b",1
"CHN","159c",1
"CHN","159e",1
"CHN","159f",1
"CHN","159g",1
"CHN","159h",0
"CHN","159i",1
"CHN","159j",1
"CHN","159k",1
"CHN","159l",1
"CHN","160b",1
"CHN","160c",0
"CHN","160d",1
"CHN","160e",0
"CHN","79x",0.333333333333
"CHN","80x",0.5
"CHN","82x",0.333333333333
"CIV","153a",1
"CIV","153b",1
"CIV","153c",1
"CIV","153d",1
"CIV","153e",1
"CIV","153f",1
"CIV","153g",1
"CIV","158a",1
"CIV","158b",1
"CIV","158c",1
"CIV","158d",1
"CIV","158f",0
"CIV","158g",1
"CIV","158h",1
"CIV","159a",1
"CIV","159b",1
"CIV","159c",0
"CIV","159e",1
"CIV","159f",1
"CIV","159g",1
"CIV","159h",1
"CIV","159i",1
"CIV","159j",1
"CIV","159k",1
"CIV","159l",1
"CIV","160b",0
"CIV","160c",0
"CIV","160d",0
"CIV","160e",0
"CIV","79x",0
"CIV","80x",0
"CIV","82x",0
"CMR","153a",1
"CMR","153b",1
"CMR","153c",1
"CMR","153d",1
"CMR","153e",1
"CMR","153f",1
"CMR","153g",1
"CMR","158a",1
"CMR","158b",0
"CMR","158c",1
"CMR","158d",0
