"dimension","region_id","region_label","score_o","score","score_dif"
"status",178,"Poland",17.16,17.9089192566607,0.748919256660692
"status",54,"United Arab Emirates",37.19,37.9352914524381,0.745291452438096
"status",17,"Papua New Guinea",9.67,10.2799420081593,0.609942008159319
"status",100,"Republique du Congo",3.46,4.04248681803149,0.582486818031494
"status",199,"Democratic Republic of the Congo",2.89,3.37005918745399,0.480059187453989
"status",85,"Ascension",35.03,35.5084020783272,0.478402078327171
"status",86,"Saint Helena",35.03,35.5084020783272,0.478402078327171
"status",88,"Tristan da Cunha",35.03,35.5084020783272,0.478402078327171
"status",95,"Falkland Islands",35.03,35.5084020783272,0.478402078327171
"status",141,"Faeroe Islands",35.03,35.5084020783272,0.478402078327171
"status",144,"Jan Mayen",35.03,35.5084020783272,0.478402078327171
"status",145,"Greenland",35.03,35.5084020783272,0.478402078327171
"status",227,"Jersey",35.03,35.5084020783272,0.478402078327171
"status",228,"Guernsey",35.03,35.5084020783272,0.478402078327171
"status",20,"South Korea",24.84,25.2686319980036,0.428631998003567
"status",143,"Iceland",55.04,55.4647688759627,0.424768875962656
"status",175,"Denmark",30.67,31.0914693778081,0.421469377808133
"status",190,"Qatar",9.62,10.0256264563901,0.405626456390076
"status",177,"Netherlands",62.98,63.3461458303751,0.366145830375089
"status",106,"Ghana",8.83,9.15830487162109,0.328304871621093
"status",162,"New Zealand",71.17,71.4814123353315,0.311412335331454
"status",182,"Spain",59.99,59.6950129622849,-0.294987037715124
"status",181,"Ireland",23.14,23.4180367916609,0.278036791660863
"status",1,"Cocos Islands",61.12,61.3883199882372,0.268319988237231
"status",2,"Christmas Island",61.12,61.3883199882372,0.268319988237231
"status",3,"Norfolk Island",61.12,61.3883199882372,0.268319988237231
"status",59,"Belgium",25.06,25.3214317929761,0.261431792976147
"status",16,"Australia",51.07,51.295227641143,0.225227641142993
"status",180,"United Kingdom",40.41,40.2095531781971,-0.200446821802878
"status",8,"Palau",31.02,31.2120443153035,0.192044315303463
"status",9,"Micronesia",31.02,31.2120443153035,0.192044315303463
"status",10,"Nauru",31.02,31.2120443153035,0.192044315303463
"status",11,"Marshall Islands",31.02,31.2120443153035,0.192044315303463
"status",12,"Wake Island",31.02,31.2120443153035,0.192044315303463
"status",13,"Northern Mariana Islands and Guam",31.02,31.2120443153035,0.192044315303463
"status",148,"Line Group",31.02,31.2120443153035,0.192044315303463
"status",157,"Phoenix Group",31.02,31.2120443153035,0.192044315303463
"status",212,"Kiribati",31.02,31.2120443153035,0.192044315303463
"status",174,"Finland",24.59,24.7815040093559,0.191504009355913
"status",176,"Germany",23.54,23.4121953316731,-0.127804668326881
"status",163,"United States",44.8,44.6932170056733,-0.106782994326693
"status",209,"China",33.68,33.7808231658556,0.100823165855587
"status",179,"France",51.41,51.3094955269094,-0.100504473090631
"status",185,"Monaco",40.75,40.8473171204834,0.0973171204834316
"status",208,"Singapore",49.26,49.340941682832,0.0809416828319627
"status",219,"Saint Pierre and Miquelon",33.11,33.0527556839318,-0.057244316068207
"status",222,"Sweden",43.63,43.6809843761888,0.0509843761887865
"status",218,"Canada",21.43,21.4122943621903,-0.0177056378097298
