"","name","type","latitude","longitude","population","year","gas","est_RFNB"
"139","Miawpukek","First Nations","47.863441","-55.755889","281","1979","27.225","123.435893866136"
"140","Malahat First Nation","First Nations","48.614013672","-123.520202637","293","1979","23.2083333333333","126.324337852068"
"141","Kashechewan","First Nations","52.291388889","-81.652222222","1","1979","23.95","126.942728008214"
"142","Annapolis Valley","First Nations","45.065777","-64.654284","260","1979","24.5166666666667","183.714403720387"
"143","Leq' a: mel First Nation","First Nations","49.185","-122.076944444","345","1979","23.2083333333333","122.753481767667"
"144","Aklavik","First Nations","68.218200684","-135.006469727","361","1979","19.075","211.361174920472"
"145","Skidegate","First Nations","53.261413574","-131.997070313","110","1979","23.2083333333333","125.182444452141"
"146","Iskut","First Nations","57.840026855","-129.985290527","493","1979","23.2083333333333","133.041304112361"
"147","Simpcw First Nation","First Nations","51.322387695","-120.147888184","465","1979","23.2083333333333","123.558845044775"
"148","Moose Cree First Nation","First Nations","51.263888889","-80.596944444","371","1979","23.95","125.447177892303"
"149","Williams Lake","First Nations","52.106201172","-121.993896484","492","1979","23.2083333333333","119.39260597577"
"150","Stswecem'c Xgat'tem First Nation","First Nations","51.587219238","-122.204406738","482","1979","23.2083333333333","123.448101902314"
"151","Waswanipi","First Nations","49.693649133","-75.967010579","186","1979","23.95","127.728521319268"
"152","Metepenagiag Mi'kmaq Nation","First Nations","46.932222222","-65.858055556","454","1979","24.375","155.037113683279"
"153","Shackan","First Nations","50.289428711","-121.180480957","72","1979","23.2083333333333","139.702338143453"
"154","Gitanyow","First Nations","55.258787565","-128.05881555","519","1979","23.2083333333333","126.248540075092"
"155","Okanagan","First Nations","50.448055556","-119.353055556","166","1979","23.2083333333333","134.674602011605"
"156","Hagwilget Village","First Nations","55.255","-127.603055556","502","1979","23.2083333333333","140.155092574495"
"157","Snuneymuxw First Nation","First Nations","49.152038574","-123.92956543","122","1979","23.2083333333333","132.929346404425"
"158","Tsawout First Nation","First Nations","48.588989258","-123.386779785","527","1979","23.2083333333333","152.52856325423"
"159","Squiala First Nation","First Nations","49.156111111","-121.976111111","174","1979","23.2083333333333","140.744556108121"
"160","Sumas First Nation","First Nations","49.054351","-122.195349","294","1979","23.2083333333333","158.666267670138"
"161","Musqueam","First Nations","49.225165","-123.19828","73","1979","23.2083333333333","223.733938484563"
"162","Wahgoshig","First Nations","48.611944444","-79.983888889","295","1979","23.95","133.873566391386"
"163","Boston Bar First Nation","First Nations","49.869812012","-121.451293945","243","1979","23.2083333333333","179.563796825655"
"164","Kwiakah","First Nations","50.423888889","-125.158888889","189","1979","23.2083333333333","179.793060221597"
"165","Kwantlen First Nation","First Nations","49.173888889","-122.561944444","222","1979","23.2083333333333","187.442728119662"
"166","Dzawada'enuxw First Nation","First Nations","50.972595215","-126.17578125","412","1979","23.2083333333333","142.772283523133"
"167","God's Lake First Nation","First Nations","54.553608","-94.494085","247","1979","22.625","179.675521467441"
"168","Paqtnkek Mi'kmaw Nation","First Nations","45.601494964","-61.738137054","422","1979","25.8166666666667","145.877450887568"
"169","Montagnais de Unamen Shipu","First Nations","50.216796875","-60.666687012","28","1979","25.8166666666667","128.245560453377"
"170","Nooaitch","First Nations","50.18939209","-121.058410645","194","1979","23.2083333333333","132.484524218871"
"171","Nicomen","First Nations","50.265014648","-121.398986816","70","1979","23.2083333333333","226.777438297633"
"172","Indian Island","First Nations","46.689166667","-64.791111111","145","1979","25.8166666666667","152.349454843482"
"173","Montagnais du Lac St.-Jean","First Nations","48.559020996","-72.243896484","445","1979","23.8583333333333","233.319057597205"
"174","Manto Sipi Cree Nation","First Nations","54.838964685","-94.062978315","526","1979","22.625","208.668951344264"
"175","Kanaka Bar","First Nations","50.111816406","-121.561584473","200","1979","23.2083333333333","122.46843039178"
"176","Gitga'at First Nation","First Nations","53.424194336","-129.25378418","486","1979","23.2083333333333","122.077254715306"
"177","Weenusk","First Nations","54.987691","-85.44424","425","1979","22.625","138.393839203968"
"178","Mushuau Innu First Nation","First Nations","55.913055556","-61.127222222","538","1979","25.8166666666667","123.489123264412"
"179","Yale First Nation","First Nations","49.562305403","-121.422702513","111","1979","23.2083333333333","194.474482667718"
"180","Tlatlasikwala","First Nations","50.917602539","-127.914672852","455","1979","23.2083333333333","173.592067684447"
"181","Ucluelet First Nation","First Nations","48.939025879","-125.526000977","446","1979","23.2083333333333","123.006770755596"
"182","Flying Post","First Nations","48.531111111","-82.016944444","190","1979","24.1833333333333","129.734763694867"
"183","Innu Takuaikan Uashat Mak Mani-Utenam","First Nations","50.229744618","-66.388732617","367","1979","25.8166666666667","155.765252240474"
"184","Bonaparte","First Nations","50.836242676","-121.376098633","539","1979","23.2083333333333","147.368781222666"
"185","Lake Babine Nation","First Nations","54.238611111","-125.7625","219","1979","23.2083333333333","135.21403938837"
"186","Tl'etinqox-t'in Government Office","First Nations","52.020812988","-123.181884766","103","1979","23.2083333333333","148.279695311781"
"187","Kitsumkalum","First Nations","54.527038574","-128.670898438","481","1979","23.2083333333333","122.698263215263"
"188","Squamish","First Nations","49.31661099","-123.088666829","355","1979","23.2083333333333","223.298919627757"
"189","Ditidaht","First Nations","48.810424805","-124.671386719","498","1979","23.2083333333333","182.595776498328"
"190","Nisga'a Village of Gitwinksihlkw","First Nations","55.192993164","-129.221984863","348","1979","23.2083333333333","122.853762059513"
"191","Canim Lake","First Nations","51.778808594","-120.979614258","431","1979","23.2083333333333","142.868672408545"
"192","Stz'uminus First Nation","First Nations","49.01361084","-123.786499023","48","1979","23.2083333333333","186.674861554053"
"193","Siska","First Nations","50.137023926","-121.571899414","288","1979","23.2083333333333","175.356526994294"
"194","Tseshaht","First Nations","49.265808105","-124.84777832","27","1979","23.2083333333333","157.928461570878"
"195","Mohawks of Kahnawá:ke","First Nations","45.40802002","-73.674987793","14","1979","23.8583333333333","173.682449245436"
"196","Halalt","First Nations","48.876587363","-123.692826085","185","1979","23.2083333333333","132.320823387473"
